word,count
heaven,33
for,32
all,32
who,30
they,30
not,26
what,25
him,25
our,23
when,22
be,22
this,21
so,20
yet,17
now,17
though,17
were,17
nor,17
like,17
at,16
hell,16
these,15
such,15
whom,15
had,14
whose,14
have,13
hath,13
gods,13
how,13
if,13
then,13
high,13
us,12
force,12
can,12
where,12
we,12
is,12
was,12
which,12
her,12
thus,11
may,11
fire,11
more,11
first,11
stood,11
lost,11
than,11
through,11
great,10
power,10
god,10
those,10
strength,10
till,10
one,10
out,10
them,10
fell,9
soon,9
came,9
spirits,8
light,8
thence,8
I,8
never,8
while,8
arms,8
war,8
here,8
far,8
own,8
next,8
me,8
it,8
above,7
no,7
sons,7
shall,7
round,7
will,7
thou,7
night,7
place,7
under,7
new,7
earth,7
some,7
eternal,7
temple,7
long,7
after,7
seat,7
there,7
called,7
old,7
once,7


